,PC1,PC2,PC3
Firmicutes_bacterium_CAG_94,0.10180838079677301,-0.005897287227229617,0.04283138631290692
Lawsonibacter_asaccharolyticus,0.05696553774317592,-0.14019365754001512,0.07883464353576258
Clostridium_leptum,0.09901367692604332,0.06802295845542872,-0.013352785585383997
Anaeromassilibacillus_sp_An250,0.10127417184432444,-0.01015552067604053,0.06380905249868435
Bifidobacterium_animalis,-0.08765677368508154,-0.010800067570179928,0.17019579647771926
Agathobaculum_butyriciproducens,-0.10262412471713474,-0.02696447679026051,-0.04038322777165507
Ruthenibacterium_lactatiformans,0.10348754592757592,0.024619698338222227,-0.0011507288478468884
Roseburia_hominis,-0.10364747462464903,0.016434661557717258,-0.008367699554715953
Clostridium_innocuum,0.10259615988567516,0.0379062157352711,0.00014835921705355293
Anaerostipes_hadrus,-0.10033417262044927,-0.02707123756665181,-0.05492702351222634
Clostridium_symbiosum,0.100931783752239,0.047519827929551006,-0.03527929380973067
Clostridium_spiroforme,0.10192088638297528,-0.0316229944885732,0.02255220386286356
Flavonifractor_plautii,0.10306198772154038,-0.002431098557017579,-0.05339814664402443
Haemophilus_parainfluenzae,-0.10059446083697576,0.04768800594485898,0.02195042717943553
Streptococcus_thermophilus,-0.06503990611197738,-0.01468222237144256,0.24208864652864331
Eubacterium_eligens,-0.10290197364382231,-0.02707528791465042,0.013993513136655108
Roseburia_sp_CAG_182,-0.10283959228995285,0.0034905331345538417,-0.04752810377595236
Clostridium_sp_CAG_58,0.09343914777646913,-0.1028600375586275,-0.015237124379159573
Oscillibacter_sp_57_20,-0.09792189027821845,-0.013851207841112174,0.0694636680199145
Anaerotruncus_colihominis,0.10235238617424897,-0.009925665651884769,-0.06046951125315482
Bifidobacterium_catenulatum,0.08931817735728627,0.11072414081008201,0.02755130273565467
Clostridium_saccharolyticum,0.09875452905648163,-0.06708316958941993,-0.011404090908659213
Pseudoflavonifractor_sp_An184,0.10354937709548609,0.013818362451641444,0.018072704556836367
Bifidobacterium_bifidum,0.0929773433966807,0.09479673012288903,0.04986722326055985
Ruminococcus_lactaris,-0.09981544628057414,-0.05265879096409044,0.032907976232889616
Firmicutes_bacterium_CAG_95,-0.10252958923413658,-0.026108521551485186,0.039532255902110194
Bifidobacterium_longum,0.06361327957264432,0.17499685959561279,-0.0012727994270979731
Eubacterium_hallii,-0.09903690779395748,-0.03933387534307561,-0.03352939454635248
Faecalibacterium_prausnitzii,-0.10028108084662192,-0.05827550622705924,-0.02379033015300609
Oscillibacter_sp_PC13,-0.09687782620760772,-0.061694644599247644,0.002627359634792673
Bilophila_wadsworthia,0.10362407231000294,0.003915839125822088,0.019975991168157944
Butyricimonas_synergistica,0.07353120756400354,-0.15117630306618915,0.04853126282203595
Alistipes_putredinis,0.1021542905274874,0.00799798551189494,0.04486061270626633
Gordonibacter_pamelaeae,0.10016152910218257,0.040769946260270085,0.025368362811033107
Flavonifractor_sp_An100,0.057461265841076636,-0.14309481839427268,-0.05328554126402677
Parabacteroides_merdae,0.10406707693062098,0.010990367034594845,0.014671757140084457
Clostridium_sp_CAG_242,0.04088506282180865,-0.207578193809098,0.06594328516458833
Clostridium_sp_CAG_167,-0.10123328514485873,-0.022854705161558367,0.03821896321819453
Eggerthella_lenta,0.10224742338554885,0.020857720838439446,-0.02715445644938188
Alistipes_finegoldii,0.09968111308359019,0.007373869277988174,0.04308999158586977
Harryflintia_acetispora,0.10325411042085035,-0.031206451272612536,-0.0028019219883617303
