variable,species,spearman_r,qvalue
Alcohol,Actinomyces_odontolyticus,-0.0745879587096405,0.199806843298197
Alcohol,Asaccharobacter_celatus,0.0820850825028976,0.141572376597941
Alcohol,Bacteroides_galacturonicus,0.0943574952405811,0.0725660240379297
Alcohol,Bifidobacterium_bifidum,-0.0959921777874895,0.0662044937513652
Alcohol,Butyricimonas_synergistica,0.0976450160123026,0.060254459677772
Alcohol,Clostridium_bolteae_CAG_59,-0.0942527050864971,0.0730393384620876
Alcohol,Clostridium_saccharolyticum,0.0770298628489849,0.179627958209533
Alcohol,Clostridium_sp_CAG_167,0.0756515524235861,0.190903270160942
Alcohol,Clostridium_spiroforme,0.109829705267565,0.0264198086311639
Alcohol,Clostridium_symbiosum,-0.102281815299348,0.0451710762264559
Alcohol,Coprobacter_fastidiosus,0.104579797251612,0.0387364962281987
Alcohol,Enorma_massiliensis,0.0871969664578528,0.10868252935386
Alcohol,Firmicutes_bacterium_CAG_145,0.080163154638581,0.155263889834213
Alcohol,Firmicutes_bacterium_CAG_94,0.0833881049651214,0.132350322135825
Alcohol,Flavonifractor_sp_An100,0.100593600090222,0.0501473030602166
Alcohol,Haemophilus_parainfluenzae,-0.120980886052831,0.0105666085512728
Alcohol,Hungatella_hathewayi,-0.0900223454237692,0.0932812298588205
Alcohol,Lactobacillus_rogosae,0.0754032995673045,0.193167422571332
Alcohol,Lawsonibacter_asaccharolyticus,0.207072291301397,3.86204726976351e-07
Alcohol,Oscillibacter_sp_PC13,0.110409492251503,0.0252473571024097
Alcohol,Parabacteroides_distasonis,0.111779058603313,0.0225978013826285
Alcohol,Parabacteroides_goldsteinii,0.130778454884612,0.0042709158389993
Alcohol,Parabacteroides_johnsonii,0.0996235768829731,0.0533163131476872
Alcohol,Parasutterella_excrementihominis,0.0767522780410423,0.182050649858982
Alcohol,Roseburia_sp_CAG_309,0.122209903985785,0.00947759869018144
Alcohol,Ruminococcaceae_bacterium_D16,0.078041989440225,0.171832334314279
Alcohol,Ruminococcus_lactaris,0.0896773433571141,0.0950130667354977
Alcohol,Streptococcus_salivarius,-0.0792807025568214,0.161823155429726
Animal_fats,Bacteroides_fragilis,-0.0891685614093391,0.0978794511073556
Animal_fats,Bacteroides_massiliensis,0.0752928611769876,0.193960573158082
Animal_fats,Roseburia_sp_CAG_182,-0.0762222061491326,0.186102346201764
Animal_fats,Streptococcus_salivarius,-0.0912615867251812,0.08680019617101
Animal_fats,Veillonella_infantium,-0.114488994012498,0.0182728832355114
Animal_fats,Veillonella_sp_T11011_6,-0.107646337130285,0.0312075971643762
Dairy,Anaeromassilibacillus_sp_An250,0.0861481849543136,0.115143478694966
Dairy,Anaerotruncus_colihominis,-0.0901301951715898,0.092636922228309
Dairy,Bacteroides_ovatus,0.0958842066558598,0.066660640989853
Dairy,Bifidobacterium_animalis,0.199389710233721,1.0996274422529e-06
Dairy,Bifidobacterium_pseudocatenulatum,-0.0824692390636733,0.139006312499322
Dairy,Clostridium_bolteae,-0.0886354126712294,0.100848268310892
Dairy,Clostridium_disporicum,0.0833970856546881,0.132315632706799
Dairy,Firmicutes_bacterium_CAG_110,0.0761569667884293,0.186691187369194
