,max_abs_r,n_significant,profile_variance,profile_range,max_abs_r_norm,n_sig_norm,var_norm,composite_score
Firmicutes_bacterium_CAG_94,0.157708300528003,12,0.008276611960818954,0.300671447383163,0.4146165759611436,1.0,0.7705207896464699,0.7084768277960749
Lawsonibacter_asaccharolyticus,0.380371431514554,2,0.010741581631582486,0.4414426252022088,1.0,0.16666666666666666,1.0,0.7083333333333334
Clostridium_leptum,0.207956271992387,8,0.0077058438625020155,0.33900274521379603,0.5467189561643776,0.6666666666666666,0.7173844715609878,0.6313670336893313
Anaeromassilibacillus_sp_An250,0.164474606163262,11,0.005759669220857964,0.287971286865607,0.43240525585310363,0.9166666666666666,0.5362030861380169,0.6278462072090789
Bifidobacterium_animalis,0.199389710233721,8,0.007569731772510736,0.323300298888779,0.5241973863278737,0.6666666666666666,0.704712958681443,0.6191905275348435
Agathobaculum_butyriciproducens,0.20679488303088,8,0.006955250626348042,0.3038094366019496,0.543665653878024,0.6666666666666666,0.6475071237086871,0.6126763758117146
Ruthenibacterium_lactatiformans,0.18057509535161,8,0.007265138684870921,0.315125248381602,0.4747335903556173,0.6666666666666666,0.6763565119227788,0.592315897456275
Roseburia_hominis,0.197077948671331,8,0.005220439718184646,0.2805544876217289,0.5181197438688039,0.6666666666666666,0.48600289019221027,0.5620819534289074
Clostridium_innocuum,0.137261983684451,9,0.005557947015218076,0.2366773688275727,0.3608630204900102,0.75,0.5174235234480326,0.5362010890580121
Anaerostipes_hadrus,0.14156575590367,7,0.0060373781508272365,0.261322242712219,0.3721776773297269,0.5833333333333334,0.5620567210582925,0.4935519178631305
Clostridium_symbiosum,0.160136898116365,7,0.004575924932228578,0.2359157316493504,0.4210013814095756,0.5833333333333334,0.42600103869009437,0.4790674789030205
Clostridium_spiroforme,0.136690462118714,7,0.005437788736615316,0.246520167386279,0.35936048502497453,0.5833333333333334,0.5062372491428158,0.4744701729623604
Flavonifractor_plautii,0.120407565602468,8,0.0046233530625343485,0.22442676170517,0.3165525999758499,0.6666666666666666,0.4304164154877088,0.4675584771956005
Haemophilus_parainfluenzae,0.123334842705267,7,0.005437619321616351,0.233917930620509,0.32424843846493734,0.5833333333333334,0.5062214772570008,0.4604214113668918
Streptococcus_thermophilus,0.254092808318387,2,0.005419307090134068,0.33467068103307057,0.6680123354865171,0.16666666666666666,0.5045166788287655,0.4516674372351316
Eubacterium_eligens,0.13364491427998,7,0.004513532856558121,0.22026704892697238,0.3513537116808058,0.5833333333333334,0.4201925760436801,0.449756295349909
Roseburia_sp_CAG_182,0.136567696026626,6,0.005342330879890578,0.2502504163353,0.3590377318371255,0.5,0.49735048925970204,0.44295271504977574
Clostridium_sp_CAG_58,0.199359209998771,4,0.004962519171704422,0.313610002678617,0.5241172009290161,0.3333333333333333,0.46199147778327004,0.44181141648409067
Oscillibacter_sp_57_20,0.169334248980711,5,0.004820269319461992,0.2571541479415167,0.4451813016199978,0.4166666666666667,0.4487485628084226,0.43609299468343815
Anaerotruncus_colihominis,0.141722229200949,6,0.004792521626363565,0.24873445416317702,0.3725890470707613,0.5,0.44616535913785305,0.4355769586127678
Bifidobacterium_catenulatum,0.147410718658536,5,0.004778820351748801,0.27457478315572503,0.38754413829550627,0.4166666666666667,0.4448898230869534,0.4120734444232742
Clostridium_saccharolyticum,0.180936466377252,4,0.004287980267969945,0.297986607526318,0.47568363811341835,0.3333333333333333,0.39919449621482095,0.4067387459657392
Pseudoflavonifractor_sp_An184,0.137394725634246,5,0.004417273720650132,0.22462062282073952,0.3612120002997358,0.4166666666666667,0.4112312201456839,0.3931259384896486
Bifidobacterium_bifidum,0.112607255463329,6,0.00401875452022871,0.222604071636254,0.2960455127109628,0.5,0.3741306129827972,0.3869508583300844
Ruminococcus_lactaris,0.128728155988683,5,0.004351175815835002,0.2284164871689418,0.3384275088066322,0.4166666666666667,0.4050777590370527,0.3824737766152494
Firmicutes_bacterium_CAG_95,0.128036928853606,6,0.0031022057887145076,0.1936604075196538,0.3366102662962662,0.5,0.28880344581596595,0.381844967972498
Bifidobacterium_longum,0.133841889914256,5,0.004072360601445882,0.23960103122965898,0.3518715624391861,0.4166666666666667,0.37912113328565084,0.3813622416304205
Eubacterium_hallii,0.159940767351541,4,0.0038133303299006994,0.270775967633243,0.42048575182077325,0.3333333333333333,0.35500640973473724,0.37361256982866026
Faecalibacterium_prausnitzii,0.0993602510404081,6,0.003450412774920632,0.19571667149663768,0.26121901596231295,0.5,0.3212201790447414,0.3597926511461106
Oscillibacter_sp_PC13,0.147883455809885,4,0.003128999293258571,0.1981578310887093,0.3887869686244472,0.3333333333333333,0.29129781819640616,0.3450059086655471
Bilophila_wadsworthia,0.118859575146526,5,0.0030456690359057003,0.22203377070484898,0.312482918796645,0.4166666666666667,0.28354009124231755,0.34171152366257074
Butyricimonas_synergistica,0.103755525732077,5,0.0036930196562511178,0.2014005417443796,0.2727742336456387,0.4166666666666667,0.34380594803588993,0.3408945138005613
Alistipes_putredinis,0.136494126946025,4,0.0028499078136458088,0.2331367247217426,0.35884431804601075,0.3333333333333333,0.2653154732135989,0.3265332621884707
Gordonibacter_pamelaeae,0.0948512912624997,5,0.0031467683104597,0.1850568747122361,0.24936491913922945,0.4166666666666667,0.29295204546112147,0.3188173123543055
Flavonifractor_sp_An100,0.100593600090222,5,0.002876257615363819,0.170533253743956,0.2644615019842073,0.4166666666666667,0.2677685385648444,0.3185600687682274
Parabacteroides_merdae,0.0984338587528085,5,0.0027942470872400955,0.1889368023113365,0.25878352209803684,0.4166666666666667,0.26013367333395554,0.314380160506037
Clostridium_sp_CAG_242,0.12221841715218,4,0.002964625554347739,0.2204615082786291,0.3213133453938262,0.3333333333333333,0.27599525433304184,0.31419081840745766
Clostridium_sp_CAG_167,0.144559802887069,3,0.0030214650041101077,0.2194669303932583,0.38004905445044646,0.25,0.2812867888306478,0.3098413189878405
Eggerthella_lenta,0.11050284424734,4,0.003102021838563522,0.2065187386823451,0.29051299622409177,0.3333333333333333,0.2887863207633159,0.30506844534713234
Alistipes_finegoldii,0.12306910948139,3,0.003569436084226335,0.230780109629024,0.32354982336963717,0.25,0.33230079206691965,0.2999951273645848
Harryflintia_acetispora,0.124094418655212,3,0.003390465658566139,0.2239417138286378,0.32624537063968173,0.25,0.31563933272149275,0.29690798143624586
Asaccharobacter_celatus,0.114770839438112,4,0.002555679818607619,0.216860891657313,0.30173359492620194,0.3333333333333333,0.2379239767720415,0.2968410988301578
Firmicutes_bacterium_CAG_145,0.128927239170702,3,0.002940623646204248,0.20139644807667362,0.3389509003274577,0.25,0.27376076885718603,0.2915205523452796
Eubacterium_sp_CAG_38,0.0969936212355565,4,0.0029432897776796468,0.1785737737274185,0.2549971243879951,0.3333333333333333,0.27400897545904807,0.2871677602866267
Escherichia_coli,0.153273118954996,2,0.002766358516445203,0.19990975331347932,0.40295644271888853,0.16666666666666666,0.25753735449084453,0.2839002490435999
Bacteroides_ovatus,0.135178280894471,3,0.002137339481664005,0.1829836396525696,0.3553849466460226,0.25,0.19897809791621207,0.27939850313746206
Streptococcus_australis,0.135439583850153,3,0.002084610483414692,0.1845499812250109,0.35607191452539655,0.25,0.1940692306694857,0.27844607347753003
Intestinibacter_bartlettii,0.093479448582468,4,0.0027221316682773705,0.1709510001781478,0.2457583320867546,0.3333333333333333,0.2534200047666851,0.2783250006930398
Bifidobacterium_adolescentis,0.0933479778511316,4,0.002620683162143687,0.18456079426524,0.24541269432207571,0.3333333333333333,0.24397553842893424,0.2758256290027305
Parasutterella_excrementihominis,0.088729709109684,5,0.0015594755635264072,0.1237723536338837,0.23327122322615593,0.4166666666666667,0.1451811862548458,0.2754371191875072
Clostridium_bolteae,0.133774631772403,2,0.002955980488016218,0.19422790114676822,0.3516947401642188,0.16666666666666666,0.2751904318564242,0.2678088373631269
Oscillibacter_sp_CAG_241,0.106808927858175,3,0.002794653910566772,0.1751260899181784,0.28080165598369394,0.25,0.2601715470233832,0.26486354914932336
Bifidobacterium_pseudocatenulatum,0.105151097215937,3,0.002864839260791931,0.19989362414303802,0.27644320394212796,0.25,0.2667055336030503,0.26475366497761377
Bacteroides_sp_CAG_144,0.103987563803826,3,0.0028968993165864945,0.1768419536248928,0.27338426387536724,0.25,0.2696902016802635,0.26427625597021276
Veillonella_rogosae,0.151937366696404,1,0.0031132696622403035,0.22455230360347872,0.39944473771708716,0.08333333333333333,0.2898334499536495,0.2614029242419139
Enterorhabdus_caecimuris,0.0962512477386424,4,0.0018431946121181206,0.1786674073748191,0.25304541762085403,0.3333333333333333,0.1715943401387692,0.26078341874970057
Firmicutes_bacterium_CAG_110,0.121647293824018,3,0.0017841966934887164,0.1569370905054793,0.31981185689904645,0.25,0.16610186047861022,0.25695020787927114
Bacteroides_massiliensis,0.0983598676898051,3,0.0027869272385192432,0.1736527288667927,0.258588998911296,0.25,0.25945222352778075,0.2557986554464636
Clostridium_bolteae_CAG_59,0.101445916839653,3,0.002565044892614945,0.1601877318361182,0.2667022505757544,0.25,0.23879582919829787,0.25387985752987624
Blautia_hydrogenotrophica,0.130270582220181,2,0.00239401040016885,0.1990111165261674,0.3424825615884786,0.16666666666666666,0.22287317475947502,0.2510446516585935
